No,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90,
2,1,Erling Haaland,Manchester City,31,2581,27,5,31.65+4.65,4.75-0.25,1.1,0.89,0.17
3,2,Cole Palmer,"Chelsea, Manchester City",34,2640,22,11,17.83-4.17,11.87+0.87,0.61,0.37,0.4
4,3,Alexander Isak,Newcastle United,30,2305,21,2,22.07+1.07,3.65+1.65,0.86,0.68,0.14
5,4,Dominic Solanke,Bournemouth,38,3346,19,3,21.41+2.41,3.54+0.54,0.58,0.51,0.1
6,5,Phil Foden,Manchester City,35,2895,19,8,11.31-7.69,8.52+0.52,0.35,0.35,0.26
7,6,Ollie Watkins,Aston Villa,37,3250,19,13,19.26+0.26,7.75-5.25,0.53,0.53,0.21
8,7,Mohamed Salah,Liverpool,32,2556,18,10,21.94+3.94,12.33+2.33,0.77,0.58,0.43
9,8,Son Heung-Min,Tottenham,35,2989,17,10,12.98-4.02,13.34+3.34,0.39,0.34,0.4
10,9,Jarrod Bowen,West Ham,34,3026,16,6,13.50-2.50,6.44+0.44,0.4,0.4,0.19
11,10,Jean-Philippe Mateta,Crystal Palace,35,2303,16,5,12.29-3.71,3.53-1.47,0.48,0.42,0.14
12,11,Bukayo Saka,Arsenal,35,2990,16,8,16.81+0.81,11.33+3.33,0.51,0.37,0.34
13,12,Chris Wood,Nottingham Forest,31,1797,14,1,13.36-0.64,1.99+0.99,0.67,0.67,0.1
14,13,Nicolas Jackson,Chelsea,35,2818,14,5,19.86+5.86,5.28+0.28,0.63,0.63,0.17
15,14,Kai Havertz,Arsenal,37,2651,13,7,13.47+0.47,5.81-1.19,0.46,0.43,0.2
16,15,Yoane Wissa,Brentford,34,2556,12,3,11.17-0.83,3.83+0.83,0.39,0.39,0.13
17,16,Matheus Cunha,Wolverhampton Wanderers,32,2499,12,7,10.23-1.77,3.92-3.08,0.37,0.34,0.14
18,17,Leandro Trossard,Arsenal,34,1649,12,1,9.58-2.42,3.25+2.25,0.52,0.52,0.18
19,18,Hee-Chan Hwang,Wolverhampton Wanderers,29,2154,12,3,8.68-3.32,3.14+0.14,0.36,0.33,0.13
20,19,Richarlison,Tottenham,28,1511,11,4,9.62-1.38,1.97-2.03,0.57,0.57,0.12
21,20,Anthony Gordon,Newcastle United,35,2956,11,10,11.29+0.29,8.83-1.17,0.34,0.32,0.27
22,21,Eberechi Eze,Crystal Palace,27,2097,11,4,9.37-1.63,6.84+2.84,0.4,0.37,0.29
23,22,Darwin Núñez,Liverpool,36,2037,11,8,19.19+8.19,5.95-2.05,0.85,0.81,0.26
24,23,Julián Álvarez,Manchester City,36,2682,11,8,14.37+3.37,5.82-2.18,0.48,0.43,0.2
25,24,Carlton Morris,Luton,38,2879,11,4,12.31+1.31,3.69-0.31,0.38,0.27,0.12
26,25,Bruno Fernandes,Manchester United,35,3121,10,8,10.75+0.75,13.16+5.16,0.31,0.2,0.38
27,26,Leon Bailey,Aston Villa,35,2112,10,9,6.47-3.53,10.30+1.30,0.28,0.28,0.44
28,27,Diogo Jota,Liverpool,21,1164,10,3,6.72-3.28,3.20+0.20,0.52,0.52,0.25
29,28,Michael Olise,Crystal Palace,19,1281,10,6,5.69-4.31,5.20-0.80,0.4,0.35,0.37
30,29,Rasmus Højlund,Manchester United,30,2210,10,2,9.34-0.66,1.78-0.22,0.38,0.38,0.07
31,30,Elijah Adebayo,Luton,27,1422,10,0,6.63-3.37,0.81+0.81,0.42,0.42,0.05
32,31,Callum Wilson,Newcastle United,20,963,9,1,10.12+1.12,0.93-0.07,0.95,0.8,0.09
33,32,Douglas Luiz,Aston Villa,35,3043,9,5,7.57-1.43,5.29+0.29,0.22,0.13,0.16
34,33,Bryan Mbeumo,Brentford,25,1954,9,6,9.16+0.16,5.14-0.86,0.42,0.32,0.24
35,34,João Pedro,Brighton,31,2026,9,3,11.92+2.92,5.42+2.42,0.53,0.36,0.24
36,35,Rodrigo Muniz,Fulham,26,1602,9,1,8.48-0.52,1.39+0.39,0.48,0.48,0.08
37,36,Raheem Sterling,Chelsea,31,1987,8,4,8.57+0.57,4.97+0.97,0.39,0.39,0.23
38,37,Rodri,Manchester City,34,2967,8,9,4.29-3.71,5.33-3.67,0.13,0.13,0.16
39,38,Martin Odegaard,Arsenal,35,3117,8,10,7.67-0.33,11.58+1.58,0.22,0.18,0.33
