No,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90
1,Erling Haaland,Manchester City,9,810,11,0,8.50-2.50,0.81+0.81,0.94,0.86,0.09
2,Bryan Mbeumo,Brentford,9,810,8,0,3.81-4.19,2.45+2.45,0.42,0.25,0.27
3,Chris Wood,Nottingham Forest,9,752,7,0,4.85-2.15,0.79+0.79,0.58,0.49,0.09
4,Cole Palmer,Chelsea,9,786,7,5,4.00-3.00,5.03+0.03,0.46,0.37,0.58
5,Danny Welbeck,Brighton,9,775,6,1,4.77-1.23,0.60-0.40,0.55,0.55,0.07
6,Mohamed Salah,Liverpool,9,790,6,5,5.65-0.35,3.00-2.00,0.64,0.47,0.34
7,Nicolas Jackson,Chelsea,9,730,6,3,6.29+0.29,1.27-1.73,0.78,0.78,0.16
8,Ollie Watkins,Aston Villa,9,721,5,2,5.99+0.99,1.44-0.56,0.75,0.75,0.18
9,Liam Delap,Ipswich,9,653,5,0,2.81-2.19,0.25+0.25,0.39,0.39,0.03
10,Luis Díaz,Liverpool,9,549,5,2,3.56-1.44,1.85-0.15,0.58,0.58,0.3
11,Jamie Vardy,Leicester,9,768,4,0,3.29-0.71,0.33+0.33,0.39,0.3,0.04
12,Raúl Jiménez,Fulham,9,518,4,1,4.90+0.90,2.51+1.51,0.85,0.72,0.44
13,Kai Havertz,Arsenal,9,810,4,1,5.93+1.93,1.06+0.06,0.66,0.66,0.12
14,Yoane Wissa,Brentford,6,404,4,1,4.09+0.09,0.36-0.64,0.91,0.91,0.08
15,Matheus Cunha,Wolverhampton Wanderers,9,718,4,0,2.50-1.50,1.87+1.87,0.31,0.31,0.23
16,Noni Madueke,Chelsea,8,651,4,0,3.05-0.95,0.74+0.74,0.42,0.42,0.1
17,Jhon Durán,Aston Villa,9,193,4,0,2.74-1.26,0.06+0.06,1.28,1.28,0.03
18,Son Heung-Min,Tottenham,6,521,3,2,1.24-1.76,2.01+0.01,0.21,0.21,0.35
19,Jarrod Bowen,West Ham,9,794,3,2,2.30-0.70,3.20+1.20,0.26,0.17,0.36
20,Mateo Kovacic,Manchester City,9,714,3,0,0.74-2.26,0.31+0.31,0.09,0.09,0.04
21,Jean-Philippe Mateta,Crystal Palace,9,577,3,0,2.39-0.61,0.51+0.51,0.37,0.25,0.08
22,Rayan Ait Nouri,Wolverhampton Wanderers,9,762,3,2,1.72-1.28,1.05-0.95,0.2,0.2,0.12
23,Harvey Barnes,Newcastle United,9,488,3,1,1.81-1.19,1.62+0.62,0.33,0.33,0.3
24,Dwight McNeil,Everton,9,801,3,3,0.90-2.10,3.07+0.07,0.1,0.1,0.34
25,Bukayo Saka,Arsenal,8,674,3,7,3.01+0.01,6.07-0.93,0.4,0.4,0.81
26,Brennan Johnson,Tottenham,9,704,3,0,4.00+1.00,0.94+0.94,0.51,0.51,0.12
27,Jørgen Strand Larsen,Wolverhampton Wanderers,9,756,3,1,1.83-1.17,1.21+0.21,0.22,0.22,0.14
28,Facundo Buonanotte,Leicester,8,559,3,2,2.36-0.64,1.45-0.55,0.38,0.38,0.23
29,Antoine Semenyo,Bournemouth,9,793,3,1,3.91+0.91,2.10+1.10,0.44,0.44,0.24
30,Alex Iwobi,Fulham,9,774,2,1,1.44-0.56,2.54+1.54,0.17,0.17,0.3
31,John Stones,Manchester City,6,229,2,0,0.67-1.33,0,0.26,0.26,0
32,Michael Keane,Everton,8,720,2,0,0.58-1.42,0.12+0.12,0.07,0.07,0.02
33,Dominic Solanke,Tottenham,7,622,2,1,4.56+2.56,0.61-0.39,0.66,0.66,0.09
34,Alexander Isak,Newcastle United,7,588,2,1,3.22+1.22,1.12+0.12,0.49,0.49,0.17
35,Dominic Calvert-Lewin,Everton,9,776,2,1,3.93+1.93,0.48-0.52,0.46,0.46,0.06
36,Yves Bissouma,Tottenham,6,367,2,0,0.15-1.85,0.15+0.15,0.04,0.04,0.04
37,Gabriel,Arsenal,9,778,2,0,2.53+0.53,0.34+0.34,0.29,0.29,0.04
38,Dejan Kulusevski,Tottenham,9,688,2,1,2.05+0.05,2.29+1.29,0.27,0.27,0.3
39,James Maddison,Tottenham,9,706,2,3,2.40+0.40,2.69-0.31,0.31,0.31,0.34
40,Diogo Jota,Liverpool,7,507,2,2,3.80+1.80,0.82-1.18,0.68,0.68,0.14
41,Georginio Rutter,Brighton,8,472,2,2,1.63-0.37,1.40-0.60,0.31,0.31,0.27
42,Emile Smith-Rowe,Fulham,9,649,2,2,2.17+0.17,0.96-1.04,0.3,0.3,0.13
43,Lucas Paquetá,West Ham,9,648,2,0,2.01+0.01,0.55+0.55,0.28,0.17,0.08
44,Stephy Mavididi,Leicester,9,546,2,0,1.51-0.49,0.81+0.81,0.25,0.25,0.13
45,Leandro Trossard,Arsenal,9,501,2,0,1.65-0.35,1.14+1.14,0.3,0.3,0.2
46,Gabriel Martinelli,Arsenal,9,561,2,2,2.41+0.41,2.07+0.07,0.39,0.39,0.33
47,James Justin,Leicester,9,810,2,1,0.47-1.53,0.55-0.45,0.05,0.05,0.06
48,Anthony Gordon,Newcastle United,8,694,2,0,3.35+1.35,1.63+1.63,0.43,0.24,0.21
49,João Pedro,Brighton,4,281,2,0,0.96-1.04,0.53+0.53,0.31,0.31,0.17
50,Tomas Soucek,West Ham,9,562,2,0,2.64+0.64,0.47+0.47,0.42,0.42,0.07
