Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Argentina,Liga Profesional,2024,10/05/2024,23:00,Sarmiento Junin,Instituto,1,2,A,3.89,2.93,2.27,3.91,3.04,2.31,3.72,2.92,2.23,,,
Argentina,Liga Profesional,2024,11/05/2024,01:15,Argentinos Jrs,Rosario Central,3,2,H,1.93,3.13,4.9,1.96,3.25,4.97,1.91,3.13,4.66,,,
Argentina,Liga Profesional,2024,11/05/2024,01:15,Newells Old Boys,Platense,2,0,H,2.04,3.03,4.56,2.04,3.2,4.8,1.97,3.06,4.42,,,
Argentina,Liga Profesional,2024,11/05/2024,18:30,Huracan,Defensa y Justicia,3,1,H,2.05,3.18,4.21,2.24,3.3,4.39,2.06,3.11,3.94,,,
Argentina,Liga Profesional,2024,11/05/2024,19:30,Godoy Cruz,Barracas Central,0,1,A,1.74,3.28,5.4,1.83,3.7,5.75,1.71,3.54,5.15,,,
Argentina,Liga Profesional,2024,11/05/2024,21:30,Independiente,Talleres Cordoba,1,3,A,2.14,3.1,3.95,2.27,3.31,3.97,2.11,3.1,3.76,,,
Argentina,Liga Profesional,2024,11/05/2024,23:45,River Plate,Central Cordoba,3,0,H,1.16,8.1,16.12,1.32,8.17,17.5,1.18,7.11,14.49,,,
Argentina,Liga Profesional,2024,12/05/2024,19:30,Dep. Riestra,San Lorenzo,1,0,H,2.91,2.76,3.01,3.21,2.98,3.05,2.87,2.73,2.9,,,
Argentina,Liga Profesional,2024,12/05/2024,19:30,Tigre,Estudiantes L.P.,0,1,A,4.59,3.4,1.89,4.76,3.49,2.46,4.22,3.29,1.93,,,
Argentina,Liga Profesional,2024,12/05/2024,21:45,Belgrano,Racing Club,4,4,D,3,3.17,2.57,3.45,3.3,2.57,2.99,3.14,2.45,,,
Argentina,Liga Profesional,2024,12/05/2024,21:45,Lanus,Ind. Rivadavia,0,2,A,1.58,4,6.18,1.67,4,6.95,1.56,3.84,6.13,,,
Argentina,Liga Profesional,2024,13/05/2024,00:15,Atl. Tucuman,Boca Juniors,1,0,H,2.81,3.03,2.84,2.95,3.1,2.84,2.78,2.97,2.73,,,
Argentina,Liga Profesional,2024,13/05/2024,23:00,Gimnasia L.P.,Velez Sarsfield,3,1,H,3.39,3.14,2.36,3.39,3.2,2.5,3.18,3.1,2.36,,,
Argentina,Liga Profesional,2024,14/05/2024,01:00,Union de Santa Fe,Banfield,1,0,H,2.62,2.73,3.45,2.78,2.88,3.55,2.52,2.74,3.35,,,
Argentina,Liga Profesional,2024,18/05/2024,19:30,Ind. Rivadavia,Godoy Cruz,0,0,D,4.22,3.1,2.08,4.22,3.26,2.25,3.9,3.04,2.1,,,
Argentina,Liga Profesional,2024,18/05/2024,22:00,River Plate,Belgrano,3,0,H,1.25,6.19,11.12,1.46,6.3,13.3,1.26,5.68,10.94,,,
Argentina,Liga Profesional,2024,19/05/2024,00:00,Defensa y Justicia,Gimnasia L.P.,1,1,D,2.56,3.29,2.91,2.6,3.3,3.3,2.43,3.21,2.95,,,
Argentina,Liga Profesional,2024,19/05/2024,00:30,Instituto,Union de Santa Fe,1,1,D,2.18,3.05,3.96,2.19,3.07,4.16,2.14,2.96,3.89,,,
Argentina,Liga Profesional,2024,19/05/2024,19:00,Barracas Central,Sarmiento Junin,1,1,D,2.06,3.16,4.22,2.06,3.32,4.38,2,3.14,4.1,,,
Argentina,Liga Profesional,2024,19/05/2024,19:30,Platense,Independiente,0,0,D,3.34,2.75,2.67,3.51,2.96,2.69,3.25,2.76,2.55,,,
Argentina,Liga Profesional,2024,19/05/2024,21:45,Banfield,Huracan,1,1,D,3.05,2.79,2.84,3.08,2.98,3,2.87,2.83,2.79,,,
Argentina,Liga Profesional,2024,19/05/2024,21:45,Talleres Cordoba,Atl. Tucuman,2,0,H,1.76,3.62,5.03,1.83,3.66,5.25,1.75,3.5,4.88,,,
Argentina,Liga Profesional,2024,20/05/2024,00:00,Central Cordoba,Boca Juniors,2,4,A,5.97,3.92,1.61,6.5,3.97,1.99,5.86,3.77,1.6,,,
Argentina,Liga Profesional,2024,20/05/2024,23:00,Estudiantes L.P.,Dep. Riestra,2,0,H,1.41,4.26,9.72,1.48,4.3,10.7,1.42,4.06,9.03,,,
Argentina,Liga Profesional,2024,20/05/2024,23:00,San Lorenzo,Lanus,1,1,D,2.64,2.9,3.18,2.64,3,3.5,2.45,2.85,3.28,,,
Argentina,Liga Profesional,2024,21/05/2024,01:15,Racing Club,Argentinos Jrs,3,0,H,1.76,3.49,5.37,1.91,3.55,5.63,1.76,3.41,4.98,,,
