Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
China,Super League,2024,01/03/2024,10:00,Shandong Taishan,Changchun Yatai,4,2,H,1.4,5.16,6.87,1.49,5.16,7.4,1.4,4.73,6.53,,,
China,Super League,2024,01/03/2024,11:35,Qingdao West Coast,Henan Songshan Longmen,1,1,D,2.54,3.29,2.9,2.7,3.3,3.08,2.48,3.16,2.81,,,
China,Super League,2024,01/03/2024,12:00,Shanghai Port,Wuhan Three Towns,3,1,H,1.64,4.1,5.12,1.66,4.5,6,1.55,4.2,5.17,,,
China,Super League,2024,02/03/2024,07:30,Cangzhou,Beijing Guoan,0,2,A,5.11,4.12,1.64,6,4.4,1.68,5.06,4.01,1.59,,,
China,Super League,2024,02/03/2024,07:30,Tianjin Jinmen Tiger,Nantong Zhiyun,1,1,D,1.6,3.79,6.3,1.71,4,6.3,1.63,3.61,5.48,,,
China,Super League,2024,02/03/2024,11:35,Chengdu Rongcheng,Qingdao Hainiu,2,0,H,1.58,4.13,5.71,1.62,4.33,6,1.55,4.15,5.32,,,
China,Super League,2024,03/03/2024,11:35,Zhejiang Professional,Shenzhen Xinpengcheng,1,0,H,1.72,3.99,4.6,1.78,4,5,1.73,3.8,4.26,,,
China,Super League,2024,03/03/2024,12:00,Meizhou Hakka,Shanghai Shenhua,0,2,A,4.31,3.57,1.87,4.75,3.83,1.92,4.36,3.55,1.77,,,
China,Super League,2024,08/03/2024,11:35,Qingdao Hainiu,Changchun Yatai,0,1,A,2.34,3.44,3.07,2.37,3.69,3.07,2.28,3.45,2.87,,,
China,Super League,2024,08/03/2024,12:00,Shanghai Shenhua,Qingdao West Coast,2,0,H,1.26,5.63,12.5,1.28,6.58,13,1.24,5.62,11.27,,,
China,Super League,2024,09/03/2024,07:30,Henan Songshan Longmen,Meizhou Hakka,2,2,D,1.69,3.92,4.92,1.74,4,5,1.69,3.76,4.58,,,
