Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Denmark,Superliga,2023/2024,16/02/2024,18:00,Viborg,Odense,1,2,A,2.26,3.54,3.24,2.32,3.6,3.24,2.22,3.47,3.1,,,
Denmark,Superliga,2023/2024,18/02/2024,13:00,Hvidovre IF,Randers FC,1,3,A,4.56,3.86,1.79,4.75,3.87,1.83,4.38,3.7,1.77,,,
Denmark,Superliga,2023/2024,18/02/2024,13:00,Nordsjaelland,Lyngby,3,2,H,1.4,4.93,8.16,1.46,5.5,8.16,1.4,4.83,7.06,,,
Denmark,Superliga,2023/2024,18/02/2024,15:00,Silkeborg,FC Copenhagen,0,3,A,4.42,3.69,1.85,4.5,4,1.94,4.26,3.75,1.79,,,
Denmark,Superliga,2023/2024,18/02/2024,17:00,Brondby,Midtjylland,1,0,H,2.45,3.34,3.07,2.52,3.6,3.07,2.41,3.36,2.85,,,
Denmark,Superliga,2023/2024,19/02/2024,18:00,Vejle,Aarhus,0,0,D,3.6,3.06,2.33,3.7,3.06,2.35,3.55,2.97,2.25,,,
Denmark,Superliga,2023/2024,23/02/2024,18:00,Randers FC,Lyngby,1,0,H,2.05,3.52,3.82,2.1,3.7,3.82,2.02,3.5,3.56,,,
Denmark,Superliga,2023/2024,25/02/2024,13:00,Hvidovre IF,Viborg,2,2,D,5.47,4.03,1.65,5.6,4.2,1.67,5.12,4.02,1.62,,,
Denmark,Superliga,2023/2024,25/02/2024,13:00,Vejle,Silkeborg,2,0,H,3.26,3.32,2.35,3.4,3.42,2.51,3.07,3.28,2.33,,,
Denmark,Superliga,2023/2024,25/02/2024,15:00,Odense,Brondby,0,3,A,3.67,3.58,2.07,3.8,3.6,2.11,3.52,3.5,2.03,,,
Denmark,Superliga,2023/2024,25/02/2024,17:00,Aarhus,Midtjylland,2,3,A,3.16,3.19,2.48,3.2,3.25,2.48,3.1,3.07,2.41,,,
Denmark,Superliga,2023/2024,26/02/2024,18:00,FC Copenhagen,Nordsjaelland,2,0,H,2.06,3.59,3.7,2.08,3.65,3.71,2,3.54,3.58,,,
Denmark,Superliga,2023/2024,01/03/2024,18:00,Midtjylland,FC Copenhagen,2,0,H,3.53,3.49,2.15,3.53,3.6,2.25,3.31,3.4,2.15,,,
Denmark,Superliga,2023/2024,03/03/2024,13:00,Lyngby,Hvidovre IF,2,4,A,1.6,4.41,5.45,1.64,4.5,5.5,1.58,4.25,5.1,,,
Denmark,Superliga,2023/2024,03/03/2024,13:00,Viborg,Randers FC,3,0,H,2.57,3.35,2.9,2.57,3.45,3.15,2.45,3.29,2.86,,,
Denmark,Superliga,2023/2024,03/03/2024,15:00,Brondby,Vejle,1,1,D,1.56,4.16,6.37,1.58,4.2,6.5,1.54,4.01,6.04,,,
Denmark,Superliga,2023/2024,03/03/2024,17:00,Aarhus,Odense,1,1,D,1.85,3.61,4.55,1.86,3.64,4.75,1.81,3.51,4.48,,,
Denmark,Superliga,2023/2024,04/03/2024,18:00,Nordsjaelland,Silkeborg,3,1,H,1.51,4.76,6.72,1.51,4.9,6.9,1.47,4.63,6.16,,,
Denmark,Superliga,2023/2024,08/03/2024,18:00,Hvidovre IF,Nordsjaelland,1,2,A,10.58,6.15,1.27,11,6.3,1.3,9.93,5.81,1.27,,,
Denmark,Superliga,2023/2024,10/03/2024,13:00,Silkeborg,Aarhus,0,1,A,2.92,3.09,2.73,2.92,3.16,2.8,2.79,3.03,2.68,,,
Denmark,Superliga,2023/2024,10/03/2024,13:00,Vejle,Odense,0,1,A,2.76,3.08,2.89,2.99,3.25,2.89,2.75,3.13,2.67,,,
Denmark,Superliga,2023/2024,10/03/2024,15:00,FC Copenhagen,Lyngby,4,0,H,1.3,6,11.22,1.31,6.01,11.25,1.28,5.54,9.82,,,
Denmark,Superliga,2023/2024,10/03/2024,17:00,Viborg,Brondby,1,2,A,3.7,3.79,2,4,3.79,2.02,3.68,3.63,1.94,,,
Denmark,Superliga,2023/2024,11/03/2024,18:00,Randers FC,Midtjylland,0,1,A,3.45,3.54,2.17,3.65,3.56,2.2,3.41,3.4,2.11,,,
Denmark,Superliga,2023/2024,17/03/2024,16:00,Aarhus,Hvidovre IF,1,0,H,1.5,4.39,7.02,1.53,4.5,7.02,1.49,4.16,6.47,,,
Denmark,Superliga,2023/2024,17/03/2024,16:00,Brondby,Silkeborg,4,1,H,1.65,4.1,5.32,1.66,4.1,5.75,1.61,3.92,5.31,,,
Denmark,Superliga,2023/2024,17/03/2024,16:00,Lyngby,Viborg,2,0,H,3,3.29,2.52,3.05,3.45,2.52,2.88,3.28,2.43,,,
Denmark,Superliga,2023/2024,17/03/2024,16:00,Midtjylland,Vejle,3,0,H,1.47,4.47,7.52,1.5,4.5,7.52,1.47,4.28,6.69,,,
Denmark,Superliga,2023/2024,17/03/2024,16:00,Nordsjaelland,Randers FC,1,1,D,1.56,4.37,5.94,1.59,4.37,6.2,1.55,4.18,5.5,,,
Denmark,Superliga,2023/2024,17/03/2024,16:00,Odense,FC Copenhagen,0,2,A,5.21,4.18,1.65,5.33,4.23,1.67,5.03,3.98,1.63,,,
Denmark,Superliga,2023/2024,31/03/2024,13:00,Randers FC,Lyngby,6,2,H,1.86,3.65,4.34,1.9,3.8,4.6,1.83,3.6,4.17,,,
Denmark,Superliga,2023/2024,31/03/2024,15:00,Viborg,Hvidovre IF,3,1,H,1.55,4.31,5.97,1.57,4.4,6,1.55,4.21,5.57,,,
Denmark,Superliga,2023/2024,01/04/2024,13:00,FC Copenhagen,Brondby,1,2,A,1.86,3.65,4.33,1.93,3.75,4.33,1.86,3.56,4.05,,,
Denmark,Superliga,2023/2024,01/04/2024,15:00,Midtjylland,Nordsjaelland,2,3,A,2.4,3.57,2.93,2.42,3.8,3.25,2.29,3.54,2.92,,,
Denmark,Superliga,2023/2024,01/04/2024,17:00,Silkeborg,Aarhus,2,2,D,2.42,3.14,3.27,2.55,3.28,3.31,2.39,3.12,3.11,,,
Denmark,Superliga,2023/2024,02/04/2024,18:00,Odense,Vejle,0,1,A,1.88,3.53,4.43,1.9,3.65,4.6,1.84,3.52,4.3,,,
Denmark,Superliga,2023/2024,05/04/2024,18:00,Lyngby,Odense,0,0,D,3.2,3.49,2.27,3.23,3.6,2.35,3.08,3.43,2.25,,,
Denmark,Superliga,2023/2024,07/04/2024,13:00,Hvidovre IF,Randers FC,1,3,A,4.63,4.09,1.72,4.75,4.1,1.73,4.53,3.92,1.7,,,
Denmark,Superliga,2023/2024,07/04/2024,13:00,Vejle,Viborg,1,1,D,2.78,3.16,2.76,2.78,3.4,2.76,2.69,3.25,2.61,,,
Denmark,Superliga,2023/2024,07/04/2024,15:00,Nordsjaelland,FC Copenhagen,2,1,H,2.54,3.53,2.76,2.8,3.76,2.76,2.52,3.53,2.62,,,
Denmark,Superliga,2023/2024,07/04/2024,17:00,Aarhus,Midtjylland,0,1,A,3.68,3.35,2.13,3.93,3.44,2.17,3.64,3.3,2.06,,,
Denmark,Superliga,2023/2024,08/04/2024,18:00,Brondby,Silkeborg,1,1,D,1.48,4.59,6.58,1.5,4.61,7,1.46,4.4,6.53,,,
