Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Ireland,Premier Division,2024,16/02/2024,19:45,Bohemians,Sligo Rovers,2,2,D,2.04,3.46,3.91,2.17,3.6,4,1.97,3.4,3.67,,,
Ireland,Premier Division,2024,16/02/2024,19:45,Derry City,Drogheda,2,1,H,1.33,5.36,10.18,1.35,5.75,10.18,1.3,5.14,8.87,,,
Ireland,Premier Division,2024,16/02/2024,19:45,Galway,St. Patricks,0,1,A,2.41,3.49,3.02,2.63,3.5,3.05,2.41,3.37,2.77,,,
Ireland,Premier Division,2024,16/02/2024,19:45,Shamrock Rovers,Dundalk,1,1,D,1.43,4.67,7.91,1.43,5.29,9,1.38,4.58,7.6,,,
Ireland,Premier Division,2024,16/02/2024,19:45,Waterford,Shelbourne,1,1,D,3.73,3.29,2.17,3.73,3.4,2.17,3.51,3.23,2.08,,,
Ireland,Premier Division,2024,23/02/2024,19:45,Drogheda,Waterford,1,4,A,2.76,3.33,2.7,2.76,3.33,2.88,2.62,3.18,2.63,,,
Ireland,Premier Division,2024,23/02/2024,19:45,Dundalk,Galway,0,2,A,2.35,3.21,3.39,2.36,3.21,3.59,2.23,3.07,3.31,,,
Ireland,Premier Division,2024,23/02/2024,19:45,Shelbourne,Shamrock Rovers,2,1,H,3.68,3.09,2.28,3.81,3.1,2.28,3.64,2.94,2.16,,,
Ireland,Premier Division,2024,23/02/2024,19:45,St. Patricks,Bohemians,0,1,A,2.42,3.38,3.08,2.49,3.4,3.2,2.34,3.27,2.92,,,
Ireland,Premier Division,2024,24/02/2024,19:45,Sligo Rovers,Derry City,0,0,D,4.38,3.51,1.92,4.38,3.51,1.97,4.01,3.35,1.89,,,
Ireland,Premier Division,2024,01/03/2024,19:45,Derry City,St. Patricks,2,1,H,1.81,3.47,5.1,1.84,3.6,5.2,1.76,3.37,4.72,,,
Ireland,Premier Division,2024,01/03/2024,19:45,Galway,Waterford,2,1,H,1.94,3.38,4.48,2.01,3.4,4.6,1.89,3.23,4.17,,,
Ireland,Premier Division,2024,01/03/2024,19:45,Sligo Rovers,Shelbourne,0,1,A,3.24,3.09,2.49,3.24,3.1,2.55,3.1,2.93,2.43,,,
