Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Mexico,Liga MX,2024/2025,05/07/2024,23:45,Puebla,Santos Laguna,1,0,H,1.88,3.75,4.22,2,3.95,4.22,1.89,3.67,3.75,,,
Mexico,Liga MX,2024/2025,06/07/2024,02:00,Queretaro,Club Tijuana,1,2,A,2.86,3.27,2.65,2.95,3.27,2.9,2.62,3.15,2.7,,,
Mexico,Liga MX,2024/2025,06/07/2024,04:10,Juarez,Atlas,2,2,D,2.22,3.52,3.35,2.28,3.55,3.35,2.16,3.41,3.19,,,
Mexico,Liga MX,2024/2025,07/07/2024,00:00,Atl. San Luis,Club America,2,1,H,4.66,3.98,1.75,4.66,3.98,1.77,4.38,3.78,1.73,,,
Mexico,Liga MX,2024/2025,07/07/2024,02:00,Guadalajara Chivas,Toluca,0,0,D,2.45,3.38,3.04,2.45,3.5,3.04,2.35,3.35,2.89,,,
Mexico,Liga MX,2024/2025,07/07/2024,02:00,U.A.N.L.- Tigres,Necaxa,1,0,H,1.43,4.94,7.38,1.45,4.94,7.5,1.41,4.65,6.98,,,
Mexico,Liga MX,2024/2025,07/07/2024,04:00,Cruz Azul,Mazatlan FC,1,0,H,1.34,5.59,8.97,1.36,5.59,9,1.32,5.15,8.33,,,
Mexico,Liga MX,2024/2025,07/07/2024,19:00,U.N.A.M.- Pumas,Club Leon,4,1,H,2.24,3.59,3.24,2.24,3.7,3.35,2.12,3.51,3.2,,,
Mexico,Liga MX,2024/2025,08/07/2024,02:06,Pachuca,Monterrey,0,1,A,2.57,3.29,2.95,2.57,3.4,3.1,2.43,3.25,2.86,,,
Mexico,Liga MX,2024/2025,13/07/2024,02:00,Club America,Queretaro,3,1,H,1.41,5.18,7.42,1.42,5.5,7.81,1.38,4.86,7.14,1.42,5.3,8.6
Mexico,Liga MX,2024/2025,13/07/2024,04:00,Club Tijuana,Guadalajara Chivas,4,2,H,2.31,3.24,3.43,2.33,3.26,3.43,2.27,3.18,3.21,2.4,3.4,3.4
Mexico,Liga MX,2024/2025,13/07/2024,04:00,Mazatlan FC,Atl. San Luis,2,2,D,2.31,3.66,3.06,2.34,3.66,3.1,2.27,3.47,2.95,2.34,3.7,3.15
Mexico,Liga MX,2024/2025,13/07/2024,04:05,Atlas,U.A.N.L.- Tigres,1,1,D,4.19,3.74,1.93,4.19,3.74,2.12,3.79,3.52,1.94,4,3.7,2.04
Mexico,Liga MX,2024/2025,14/07/2024,00:00,Club Leon,Pachuca,0,0,D,3.39,3.62,2.16,3.39,3.65,2.2,3.17,3.52,2.14,3.4,3.7,2.26
Mexico,Liga MX,2024/2025,14/07/2024,00:00,Necaxa,Puebla,4,1,H,2.06,3.76,3.54,2.11,3.77,3.75,2,3.66,3.4,2.08,3.85,3.7
Mexico,Liga MX,2024/2025,14/07/2024,02:00,Toluca,Juarez,3,2,H,1.42,5.02,7.33,1.43,5.15,8,1.39,4.83,7.04,1.45,5.2,8
Mexico,Liga MX,2024/2025,14/07/2024,02:05,Santos Laguna,U.N.A.M.- Pumas,1,1,D,3.91,3.45,2.05,3.98,3.55,2.08,3.74,3.36,1.99,4.1,3.55,2.08
Mexico,Liga MX,2024/2025,14/07/2024,04:10,Monterrey,Cruz Azul,0,4,A,2.18,3.37,3.58,2.21,3.38,3.7,2.11,3.27,3.47,2.24,3.4,3.7
Mexico,Liga MX,2024/2025,17/07/2024,02:00,Atlas,Santos Laguna,1,0,H,1.78,3.82,4.69,1.8,3.82,4.69,1.76,3.7,4.38,1.81,3.9,5.1
Mexico,Liga MX,2024/2025,17/07/2024,02:00,Pachuca,Atl. San Luis,2,0,H,1.76,4.08,4.51,1.81,4.08,4.59,1.73,3.95,4.26,1.79,4.2,4.7
Mexico,Liga MX,2024/2025,17/07/2024,02:00,Queretaro,Guadalajara Chivas,0,2,A,3.64,3.32,2.18,3.75,3.34,2.2,3.56,3.23,2.1,3.95,3.5,2.14
Mexico,Liga MX,2024/2025,17/07/2024,04:00,Puebla,Club Leon,2,2,D,3,3.67,2.34,3,3.68,2.38,2.89,3.58,2.26,3,3.9,2.38
Mexico,Liga MX,2024/2025,17/07/2024,04:05,Cruz Azul,Club Tijuana,3,0,H,1.45,4.89,6.91,1.47,5.1,8,1.4,4.75,6.96,1.45,5.2,8.2
Mexico,Liga MX,2024/2025,18/07/2024,02:00,Juarez,U.N.A.M.- Pumas,1,2,A,3.29,3.54,2.24,3.29,3.58,2.28,3.13,3.46,2.17,3.3,3.65,2.34
Mexico,Liga MX,2024/2025,18/07/2024,02:00,Necaxa,Monterrey,0,1,A,2.72,3.48,2.64,2.76,3.48,2.64,2.65,3.37,2.54,2.84,3.4,2.76
Mexico,Liga MX,2024/2025,18/07/2024,04:00,Toluca,Mazatlan FC,3,0,H,1.24,7.08,10.37,1.25,7.2,12,1.23,6.47,10.45,1.27,7,12.5
Mexico,Liga MX,2024/2025,18/07/2024,04:00,U.A.N.L.- Tigres,Club America,1,0,H,2.25,3.4,3.4,2.25,3.4,3.6,2.15,3.35,3.29,2.28,3.55,3.55
Mexico,Liga MX,2024/2025,20/07/2024,02:00,Atl. San Luis,Club Tijuana,1,1,D,2.35,3.72,2.95,2.4,3.74,2.95,2.3,3.62,2.82,2.38,3.75,3.1
Mexico,Liga MX,2024/2025,20/07/2024,04:05,Puebla,Atlas,1,2,A,3.09,3.39,2.41,3.1,3.43,2.44,2.98,3.34,2.31,3.15,3.45,2.46
Mexico,Liga MX,2024/2025,21/07/2024,00:05,Guadalajara Chivas,Mazatlan FC,2,0,H,1.65,4.24,5.16,1.66,4.33,5.4,1.62,4.06,4.9,1.66,4.3,5.9
Mexico,Liga MX,2024/2025,21/07/2024,02:00,Monterrey,Queretaro,2,1,H,1.34,5.33,9.84,1.4,5.4,9.84,1.33,4.96,8.72,1.38,5.5,10.5
Mexico,Liga MX,2024/2025,21/07/2024,02:00,Santos Laguna,U.A.N.L.- Tigres,0,3,A,6.15,4.21,1.57,6.2,4.23,1.58,5.68,4.09,1.55,6.2,4.3,1.63
Mexico,Liga MX,2024/2025,21/07/2024,04:05,Cruz Azul,Toluca,1,1,D,1.99,3.86,3.66,2.03,4.04,3.71,1.94,3.79,3.47,2.04,4,3.7
Mexico,Liga MX,2024/2025,21/07/2024,04:10,Juarez,Club America,1,2,A,3.47,3.45,2.19,3.81,3.65,2.2,3.35,3.37,2.12,3.6,3.55,2.24
Mexico,Liga MX,2024/2025,22/07/2024,00:00,U.N.A.M.- Pumas,Pachuca,2,0,H,2.05,3.74,3.58,2.33,3.8,3.58,2,3.64,3.41,2.12,3.9,3.6
Mexico,Liga MX,2024/2025,22/07/2024,02:05,Club Leon,Necaxa,1,1,D,2.63,3.51,2.71,2.65,3.86,3.36,2.52,3.45,2.63,2.74,3.65,2.7
Mexico,Liga MX,2024/2025,17/08/2024,02:00,Puebla,Monterrey,1,2,A,3.88,3.97,1.9,3.93,4.1,1.9,3.76,3.77,1.86,4.2,4,1.91
Mexico,Liga MX,2024/2025,19/08/2024,01:05,Club Tijuana,Santos Laguna,3,1,H,1.49,4.77,6.4,1.49,4.8,7,1.44,4.66,6.25,1.52,4.9,6.8
Mexico,Liga MX,2024/2025,19/08/2024,03:00,Atl. San Luis,Queretaro,4,0,H,1.85,3.94,4.17,1.91,3.95,4.31,1.82,3.76,3.97,1.86,4,4.4
Mexico,Liga MX,2024/2025,24/08/2024,02:00,Queretaro,Cruz Azul,0,2,A,8.02,5.15,1.42,8.5,5.15,1.43,7.44,4.72,1.39,8.8,5.1,1.43
Mexico,Liga MX,2024/2025,24/08/2024,03:00,Mazatlan FC,Pachuca,3,0,H,3.08,3.27,2.48,3.31,3.35,2.5,3.01,3.17,2.39,3.2,3.35,2.5
Mexico,Liga MX,2024/2025,24/08/2024,04:05,Club Tijuana,Monterrey,2,2,D,3.13,3.65,2.28,3.13,3.67,2.29,2.99,3.54,2.22,3.25,3.7,2.32
Mexico,Liga MX,2024/2025,25/08/2024,00:00,Necaxa,Juarez,3,0,H,2.25,3.55,3.26,2.26,3.55,3.43,2.18,3.43,3.15,2.26,3.6,3.4
Mexico,Liga MX,2024/2025,25/08/2024,02:00,Atlas,U.N.A.M.- Pumas,2,1,H,3.1,2.99,2.66,3.1,3.1,2.66,2.94,3,2.54,3.1,3.1,2.74
Mexico,Liga MX,2024/2025,25/08/2024,02:00,Club Leon,Santos Laguna,1,1,D,1.49,4.61,6.63,1.53,4.61,6.63,1.47,4.41,6.18,1.51,4.9,7
Mexico,Liga MX,2024/2025,25/08/2024,02:00,U.A.N.L.- Tigres,Guadalajara Chivas,1,1,D,2.13,3.46,3.63,2.15,3.46,3.66,2.06,3.35,3.53,2.14,3.55,3.85
Mexico,Liga MX,2024/2025,25/08/2024,04:05,Club America,Puebla,0,1,A,1.4,5.44,7.24,1.42,5.44,8.5,1.38,4.97,7.25,1.42,5.3,8.8
Mexico,Liga MX,2024/2025,25/08/2024,19:00,Toluca,Atl. San Luis,2,1,H,1.5,4.85,6.16,1.53,4.85,6.33,1.47,4.65,5.94,1.52,5,6.6
Mexico,Liga MX,2024/2025,31/08/2024,02:00,Atl. San Luis,Atlas,2,1,H,2.63,3.3,2.85,2.67,3.4,2.85,2.56,3.25,2.71,2.72,3.3,2.94
Mexico,Liga MX,2024/2025,31/08/2024,03:00,Mazatlan FC,Puebla,1,1,D,1.7,3.8,5.35,1.76,3.84,5.5,1.66,3.72,5.07,1.72,4,5.7
Mexico,Liga MX,2024/2025,31/08/2024,04:05,Club Tijuana,Club Leon,2,1,H,2.03,3.69,3.71,2.05,3.9,3.94,1.98,3.6,3.51,2.08,3.8,3.8
Mexico,Liga MX,2024/2025,01/09/2024,00:00,Pachuca,Queretaro,1,1,D,1.54,4.38,6.27,1.56,4.75,7,1.49,4.29,6.03,1.55,4.6,7
Mexico,Liga MX,2024/2025,01/09/2024,00:05,Guadalajara Chivas,Juarez,5,0,H,1.65,4.24,5.09,1.7,4.36,5.25,1.61,4.04,4.95,1.68,4.3,5.6
Mexico,Liga MX,2024/2025,01/09/2024,02:00,Monterrey,Toluca,1,2,A,1.95,3.75,3.9,1.99,3.9,4,1.93,3.64,3.62,1.99,3.85,4.1
Mexico,Liga MX,2024/2025,01/09/2024,04:10,Cruz Azul,Club America,4,1,H,2.47,3.35,3.03,2.53,3.35,3.12,2.39,3.26,2.91,2.6,3.35,3.1
Mexico,Liga MX,2024/2025,02/09/2024,00:00,U.N.A.M.- Pumas,U.A.N.L.- Tigres,1,3,A,2.11,3.5,3.64,2.16,3.55,3.7,2.05,3.43,3.46,2.22,3.5,3.7
Mexico,Liga MX,2024/2025,02/09/2024,02:05,Santos Laguna,Necaxa,3,2,H,3.3,3.67,2.19,3.3,3.67,2.26,3.06,3.51,2.19,3.3,3.75,2.28
Mexico,Liga MX,2024/2025,14/09/2024,01:00,Puebla,Queretaro,2,1,H,2.01,3.52,3.94,2.05,3.67,4.13,1.94,3.51,3.75,2.06,3.6,4.1
Mexico,Liga MX,2024/2025,14/09/2024,02:00,Atlas,Pachuca,2,0,H,2.66,3.09,2.99,2.69,3.23,2.99,2.55,3.1,2.84,2.7,3.2,3.1
Mexico,Liga MX,2024/2025,14/09/2024,03:10,Juarez,Mazatlan FC,1,0,H,2.74,3.33,2.72,2.74,3.47,3.13,2.53,3.27,2.72,2.74,3.45,2.84
Mexico,Liga MX,2024/2025,14/09/2024,03:10,U.A.N.L.- Tigres,Atl. San Luis,1,0,H,1.49,4.91,6.12,1.5,4.91,6.49,1.46,4.7,5.84,1.49,5.1,7
Mexico,Liga MX,2024/2025,14/09/2024,04:00,Necaxa,U.N.A.M.- Pumas,2,0,H,3.44,3.3,2.27,3.45,3.56,2.4,3.2,3.26,2.24,3.5,3.45,2.32
Mexico,Liga MX,2024/2025,14/09/2024,23:45,Toluca,Club Tijuana,4,0,H,1.4,5.37,7.38,1.43,5.4,7.38,1.37,5.12,6.78,1.42,5.8,7.6
Mexico,Liga MX,2024/2025,15/09/2024,01:50,Club America,Guadalajara Chivas,1,0,H,2.04,3.43,3.96,2.08,3.43,4.22,1.98,3.35,3.75,2.02,3.45,4.3
Mexico,Liga MX,2024/2025,15/09/2024,03:35,Club Leon,Cruz Azul,1,2,A,4.27,3.71,1.88,4.61,3.75,1.92,4.07,3.58,1.85,4.5,3.8,1.93
