Country,League,Season,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Norway,Eliteserien,2024,31/03/2024,17:00,Odd,Haugesund,1,2,A,2.07,3.51,3.75,2.1,3.55,3.82,2.03,3.42,3.6,,,
Norway,Eliteserien,2024,01/04/2024,13:30,Fredrikstad,Bodo/Glimt,0,2,A,5.95,4.21,1.58,6,4.5,1.61,5.53,4.18,1.56,,,
Norway,Eliteserien,2024,01/04/2024,16:00,Lillestrom,Kristiansund,2,3,A,1.55,4.26,6.4,1.55,4.4,6.71,1.51,4.18,6.14,,,
Norway,Eliteserien,2024,01/04/2024,16:00,Molde,Stromsgodset,4,0,H,1.4,5.05,7.92,1.42,5.09,8.5,1.38,4.82,7.52,,,
Norway,Eliteserien,2024,01/04/2024,16:00,Rosenborg,Sandefjord,2,0,H,1.63,4.28,5.29,1.67,4.28,5.58,1.61,4.07,5.12,,,
Norway,Eliteserien,2024,01/04/2024,16:00,Tromso,Brann,2,4,A,3.46,3.49,2.18,3.69,3.65,2.18,3.42,3.44,2.08,,,
Norway,Eliteserien,2024,01/04/2024,18:15,Viking,Sarpsborg 08,1,0,H,1.97,4.1,3.53,2.01,4.15,3.75,1.94,3.92,3.42,,,
Norway,Eliteserien,2024,02/04/2024,18:00,KFUM Oslo,HamKam,1,1,D,2.43,3.39,3.06,2.45,3.5,3.12,2.37,3.38,2.93,,,
Norway,Eliteserien,2024,06/04/2024,17:00,Bodo/Glimt,Viking,1,0,H,1.43,5.41,7.5,1.45,5.5,7.5,1.4,5.13,6.66,,,
Norway,Eliteserien,2024,07/04/2024,13:30,Kristiansund,KFUM Oslo,1,1,D,2.22,3.6,3.26,2.26,3.86,3.3,2.15,3.51,3.17,,,
Norway,Eliteserien,2024,07/04/2024,16:00,HamKam,Molde,0,1,A,5.15,4.12,1.67,5.2,4.33,1.7,4.88,4.05,1.63,,,
Norway,Eliteserien,2024,07/04/2024,16:00,Haugesund,Lillestrom,0,2,A,3.14,3.4,2.37,3.15,3.56,2.43,2.99,3.37,2.3,,,
Norway,Eliteserien,2024,07/04/2024,16:00,Sarpsborg 08,Odd,0,1,A,1.77,4.18,4.33,1.78,4.2,4.5,1.73,4,4.21,,,
Norway,Eliteserien,2024,07/04/2024,16:00,Stromsgodset,Rosenborg,1,0,H,2.15,3.54,3.48,2.2,3.67,3.5,2.12,3.42,3.31,,,
Norway,Eliteserien,2024,07/04/2024,18:15,Brann,Fredrikstad,0,2,A,1.38,5.22,8.1,1.4,5.3,8.5,1.36,4.98,7.64,,,
Norway,Eliteserien,2024,13/04/2024,17:00,Fredrikstad,Sarpsborg 08,2,2,D,2.39,3.46,3.07,2.5,3.55,3.08,2.37,3.34,2.91,,,
Norway,Eliteserien,2024,14/04/2024,13:30,Viking,Brann,1,1,D,2.76,3.72,2.49,2.8,3.75,2.55,2.68,3.61,2.42,,,
Norway,Eliteserien,2024,14/04/2024,16:00,Molde,Kristiansund,2,0,H,1.22,6.98,12.19,1.25,7,13.2,1.22,6.4,11.75,,,
Norway,Eliteserien,2024,14/04/2024,16:00,Odd,Sandefjord,2,2,D,1.75,3.96,4.71,1.8,3.96,5,1.74,3.74,4.42,,,
Norway,Eliteserien,2024,14/04/2024,16:00,Rosenborg,HamKam,1,0,H,1.68,4,5.23,1.71,4.1,5.81,1.64,3.86,5.06,,,
Norway,Eliteserien,2024,14/04/2024,16:00,Tromso,Haugesund,0,1,A,1.64,4.11,5.43,1.64,4.35,5.6,1.59,4.03,5.26,,,
Norway,Eliteserien,2024,14/04/2024,18:15,Lillestrom,Bodo/Glimt,0,5,A,3.17,3.69,2.24,3.3,3.75,2.31,3.1,3.57,2.16,,,
Norway,Eliteserien,2024,16/04/2024,18:00,KFUM Oslo,Stromsgodset,1,3,A,2.64,3.35,2.81,2.66,3.4,2.86,2.56,3.26,2.72,,,
Norway,Eliteserien,2024,17/04/2024,17:00,Brann,HamKam,1,0,H,1.35,5.74,8.19,1.36,6,10,1.31,5.43,8.6,,,
Norway,Eliteserien,2024,17/04/2024,17:00,Molde,Odd,1,2,A,1.28,6.04,10.31,1.32,6.04,11,1.27,5.69,9.8,,,
Norway,Eliteserien,2024,21/04/2024,13:30,HamKam,Stromsgodset,0,1,A,2.58,3.34,2.89,2.61,3.4,3.04,2.48,3.26,2.83,,,
Norway,Eliteserien,2024,21/04/2024,16:00,Brann,Odd,2,0,H,1.26,6.33,10.58,1.37,6.58,11,1.27,5.85,9.31,,,
Norway,Eliteserien,2024,21/04/2024,16:00,Haugesund,Rosenborg,1,3,A,3.26,3.54,2.25,3.35,3.54,2.3,3.17,3.37,2.21,,,
Norway,Eliteserien,2024,21/04/2024,16:00,Kristiansund,Tromso,1,0,H,2.95,3.41,2.49,3.05,3.42,2.66,2.82,3.3,2.46,,,
Norway,Eliteserien,2024,21/04/2024,16:00,Sandefjord,Lillestrom,0,1,A,3.37,3.96,2.06,3.5,3.96,2.21,3.18,3.69,2.1,,,
Norway,Eliteserien,2024,21/04/2024,16:00,Sarpsborg 08,KFUM Oslo,0,2,A,2.02,3.72,3.69,2.05,3.9,4.1,1.92,3.67,3.68,,,
Norway,Eliteserien,2024,21/04/2024,16:00,Viking,Fredrikstad,1,1,D,1.84,3.86,4.28,1.85,4.07,4.35,1.79,3.76,4.14,,,
Norway,Eliteserien,2024,21/04/2024,18:15,Bodo/Glimt,Molde,1,1,D,1.68,4.17,5,1.76,4.35,5,1.67,4.02,4.64,,,
Norway,Eliteserien,2024,27/04/2024,17:00,Rosenborg,Bodo/Glimt,1,3,A,5.1,4.24,1.65,5.1,4.25,1.8,4.68,4.02,1.65,,,
Norway,Eliteserien,2024,28/04/2024,16:00,Fredrikstad,Sandefjord,1,0,H,1.87,3.6,4.5,1.98,3.6,4.5,1.92,3.37,4,,,
Norway,Eliteserien,2024,28/04/2024,16:00,KFUM Oslo,Brann,0,0,D,4.83,4.13,1.7,4.85,4.39,1.72,4.59,4.03,1.67,,,
Norway,Eliteserien,2024,28/04/2024,16:00,Lillestrom,HamKam,1,1,D,1.56,4.39,5.95,1.58,4.39,6,1.53,4.16,5.68,,,
Norway,Eliteserien,2024,28/04/2024,16:00,Molde,Haugesund,2,1,H,1.33,5.61,9.34,1.37,5.61,10,1.31,5.2,8.92,,,
Norway,Eliteserien,2024,28/04/2024,16:00,Stromsgodset,Kristiansund,2,2,D,1.62,4.22,5.49,1.64,4.22,5.89,1.6,3.97,5.25,,,
Norway,Eliteserien,2024,28/04/2024,16:00,Tromso,Sarpsborg 08,0,3,A,2.31,3.56,3.13,2.31,3.63,3.14,2.23,3.46,3.03,,,
Norway,Eliteserien,2024,28/04/2024,18:15,Odd,Viking,3,3,D,3.38,4.05,2.03,3.4,4.21,2.1,3.2,3.88,2.02,,,
Norway,Eliteserien,2024,04/05/2024,17:00,Brann,Rosenborg,3,0,H,1.49,4.75,6.42,1.52,4.75,6.54,1.48,4.44,6.1,,,
Norway,Eliteserien,2024,05/05/2024,16:00,Bodo/Glimt,Stromsgodset,1,0,H,1.26,6.33,10.77,1.29,6.4,11.2,1.25,5.87,10.21,,,
Norway,Eliteserien,2024,05/05/2024,16:00,Haugesund,KFUM Oslo,0,1,A,2.57,3.29,2.94,2.57,3.5,2.94,2.46,3.29,2.82,,,
Norway,Eliteserien,2024,05/05/2024,16:00,Kristiansund,HamKam,1,1,D,2.53,3.45,2.87,2.57,3.5,2.87,2.47,3.35,2.76,,,
Norway,Eliteserien,2024,05/05/2024,16:00,Odd,Fredrikstad,0,2,A,3.28,3.58,2.23,3.44,3.6,2.29,3.18,3.42,2.17,,,
Norway,Eliteserien,2024,05/05/2024,16:00,Sandefjord,Molde,3,1,H,4.76,4.09,1.72,5.1,4.09,1.75,4.62,3.89,1.68,,,
Norway,Eliteserien,2024,05/05/2024,16:00,Sarpsborg 08,Lillestrom,1,0,H,2.21,3.78,3.17,2.24,3.78,3.3,2.15,3.61,3.06,,,
Norway,Eliteserien,2024,05/05/2024,18:15,Viking,Tromso,2,1,H,1.49,4.74,6.37,1.5,4.78,7,1.46,4.52,6.2,,,
Norway,Eliteserien,2024,11/05/2024,17:00,Molde,Rosenborg,2,2,D,1.54,4.71,5.72,1.54,4.84,6.5,1.5,4.56,5.65,,,
Norway,Eliteserien,2024,12/05/2024,13:30,Kristiansund,Bodo/Glimt,2,4,A,6.23,5.34,1.45,6.7,5.43,1.48,6.03,4.93,1.44,,,
Norway,Eliteserien,2024,12/05/2024,16:00,HamKam,Haugesund,2,2,D,2.03,3.59,3.8,2.09,3.7,3.9,1.97,3.5,3.68,,,
Norway,Eliteserien,2024,12/05/2024,16:00,KFUM Oslo,Fredrikstad,1,4,A,2.99,3.01,2.73,2.99,3.35,2.76,2.85,3.04,2.59,,,
Norway,Eliteserien,2024,12/05/2024,16:00,Sandefjord,Sarpsborg 08,4,1,H,2.24,3.66,3.19,2.31,3.9,3.28,2.2,3.54,3.06,,,
Norway,Eliteserien,2024,12/05/2024,16:00,Stromsgodset,Viking,0,1,A,2.37,3.87,2.83,2.73,3.87,2.97,2.33,3.66,2.77,,,
Norway,Eliteserien,2024,12/05/2024,16:00,Tromso,Odd,4,0,H,1.78,3.95,4.5,1.83,4.18,4.5,1.76,3.82,4.29,,,
Norway,Eliteserien,2024,12/05/2024,18:15,Lillestrom,Brann,0,2,A,3.35,3.85,2.1,3.45,3.85,2.13,3.29,3.66,2.05,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Bodo/Glimt,Tromso,4,0,H,1.34,5.62,8.83,1.37,5.66,9,1.33,5.25,8.28,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Brann,Sandefjord,2,1,H,1.27,6.27,9.97,1.3,6.39,11,1.27,5.86,9.47,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Fredrikstad,Stromsgodset,4,1,H,2.28,3.3,3.42,2.29,3.4,3.42,2.21,3.24,3.28,,,
Norway,Eliteserien,2024,16/05/2024,17:00,Haugesund,Kristiansund,1,0,H,1.88,3.85,4.09,1.95,3.85,4.44,1.86,3.64,3.96,,,
