Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Romania,Liga 1,2024/2025,12/07/2024,16:30,Farul Constanta,Unirea Slobozia,0,1,A,1.57,4,5.96,1.66,4,6.25,1.61,3.72,5.28,1.68,4,6.4
Romania,Liga 1,2024/2025,12/07/2024,19:30,FC Hermannstadt,Univ. Craiova,0,0,D,3.02,3.07,2.55,3.1,3.2,2.56,2.92,3.02,2.46,3.15,3.1,2.7
Romania,Liga 1,2024/2025,13/07/2024,15:00,Sepsi Sf. Gheorghe,Poli Iasi,1,0,H,1.71,3.74,4.9,1.73,3.82,5.2,1.68,3.65,4.73,1.74,3.95,5.5
Romania,Liga 1,2024/2025,13/07/2024,17:15,UTA Arad,FC Rapid Bucuresti,1,1,D,3.7,3.36,2.07,3.7,3.4,2.15,3.5,3.28,2.05,3.8,3.65,2.12
Romania,Liga 1,2024/2025,13/07/2024,20:00,FCSB,U. Cluj,1,1,D,1.51,4.04,6.87,1.52,4.1,7.2,1.49,3.94,6.47,1.57,4.1,7.8
Romania,Liga 1,2024/2025,14/07/2024,17:00,CFR Cluj,Din. Bucuresti,3,2,H,1.53,4.04,6.47,1.55,4.3,7.1,1.5,4.03,6.06,1.59,4.2,6.8
Romania,Liga 1,2024/2025,15/07/2024,16:30,FC Botosani,Otelul,2,3,A,2.48,2.89,3.34,2.5,3,3.39,2.4,2.86,3.18,2.56,3.05,3.45
Romania,Liga 1,2024/2025,15/07/2024,19:30,Petrolul,Gloria Buzau,0,0,D,2.07,3.08,4.11,2.19,3.34,4.35,2.05,3.08,3.8,2.14,3.3,4.2
Romania,Liga 1,2024/2025,19/07/2024,17:00,Poli Iasi,FC Botosani,1,0,H,2.36,2.93,3.5,2.42,3.18,3.5,2.35,2.94,3.21,2.5,3.15,3.4
Romania,Liga 1,2024/2025,19/07/2024,20:00,Unirea Slobozia,FCSB,2,2,D,7.62,4.69,1.4,7.62,4.69,1.49,6.75,4.36,1.42,8.4,4.6,1.49
Romania,Liga 1,2024/2025,20/07/2024,17:00,Univ. Craiova,UTA Arad,4,2,H,1.59,3.97,5.73,1.6,4.01,6.1,1.57,3.87,5.42,1.63,4.3,6.2
Romania,Liga 1,2024/2025,20/07/2024,20:00,FC Rapid Bucuresti,CFR Cluj,2,2,D,2.56,3.34,2.78,2.63,3.44,2.78,2.5,3.26,2.68,2.76,3.4,2.88
Romania,Liga 1,2024/2025,21/07/2024,17:00,U. Cluj,FC Hermannstadt,3,1,H,2.02,3.01,4.47,2.14,3.15,4.47,2.02,2.96,4.1,2.08,3.15,4.6
Romania,Liga 1,2024/2025,21/07/2024,20:00,Din. Bucuresti,Petrolul,4,1,H,2.07,3.14,4,2.11,3.2,4,2.03,3.1,3.79,2.08,3.35,4.2
Romania,Liga 1,2024/2025,22/07/2024,17:00,Gloria Buzau,Sepsi Sf. Gheorghe,1,2,A,4.29,3.53,1.87,4.33,3.6,1.94,4.05,3.45,1.85,4.7,3.7,1.9
