Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PSCH,PSCD,PSCA,MaxCH,MaxCD,MaxCA,AvgCH,AvgCD,AvgCA,BFECH,BFECD,BFECA
Sweden,Allsvenskan,2024,30/03/2024,14:00,Norrkoping,Malmo FF,1,5,A,5.84,4.42,1.56,6,4.51,1.59,5.7,4.36,1.54,,,
Sweden,Allsvenskan,2024,31/03/2024,13:00,GAIS,Brommapojkarna,0,4,A,2.51,3.46,2.89,2.61,3.67,2.89,2.48,3.46,2.71,,,
Sweden,Allsvenskan,2024,31/03/2024,13:00,Hammarby,Kalmar,3,1,H,1.89,3.67,4.28,1.96,3.75,4.42,1.89,3.54,4.03,,,
Sweden,Allsvenskan,2024,31/03/2024,15:30,Hacken,Mjallby,0,1,A,1.79,3.88,4.59,1.9,3.93,4.6,1.79,3.73,4.28,,,
Sweden,Allsvenskan,2024,01/04/2024,13:00,Goteborg,Djurgarden,1,4,A,3.49,3.27,2.27,3.5,3.35,2.35,3.3,3.23,2.24,,,
Sweden,Allsvenskan,2024,01/04/2024,13:00,Sirius,Halmstad,3,0,H,1.74,3.93,4.87,1.77,4.1,4.88,1.7,3.93,4.6,,,
Sweden,Allsvenskan,2024,01/04/2024,15:30,AIK,Vasteras SK,1,0,H,1.55,4.28,6.25,1.67,4.3,6.47,1.55,4.05,5.92,,,
Sweden,Allsvenskan,2024,01/04/2024,15:30,Elfsborg,Varnamo,2,2,D,1.49,4.66,6.57,1.51,4.66,6.74,1.49,4.42,6.24,,,
Sweden,Allsvenskan,2024,06/04/2024,14:00,Brommapojkarna,AIK,2,2,D,3.51,3.46,2.17,3.6,3.6,2.19,3.36,3.47,2.11,,,
Sweden,Allsvenskan,2024,06/04/2024,16:30,Mjallby,Norrkoping,3,0,H,2.21,3.26,3.63,2.23,3.65,3.65,2.15,3.3,3.43,,,
Sweden,Allsvenskan,2024,07/04/2024,13:00,Halmstad,Goteborg,1,0,H,2.82,3.33,2.64,2.88,3.35,2.68,2.75,3.25,2.56,,,
Sweden,Allsvenskan,2024,07/04/2024,13:00,Malmo FF,Hammarby,2,0,H,1.41,4.92,8.07,1.43,5,8.07,1.39,4.81,7.68,,,
Sweden,Allsvenskan,2024,07/04/2024,15:30,Vasteras SK,Elfsborg,0,1,A,3.22,3.45,2.31,3.22,3.72,2.31,3.07,3.53,2.22,,,
Sweden,Allsvenskan,2024,08/04/2024,18:00,Kalmar,Sirius,1,2,A,2.5,3.41,2.95,2.52,3.55,3.14,2.44,3.33,2.85,,,
Sweden,Allsvenskan,2024,08/04/2024,18:00,Varnamo,GAIS,1,2,A,2.82,3.39,2.6,2.82,3.6,2.84,2.59,3.41,2.61,,,
Sweden,Allsvenskan,2024,08/04/2024,18:10,Djurgarden,Hacken,3,3,D,1.86,3.91,4.12,1.87,4.08,4.33,1.8,3.89,4.03,,,
Sweden,Allsvenskan,2024,13/04/2024,14:00,Mjallby,AIK,1,1,D,2.62,3.1,3.03,2.62,3.26,3.03,2.55,3.11,2.89,,,
Sweden,Allsvenskan,2024,13/04/2024,16:30,Vasteras SK,Halmstad,0,1,A,1.71,3.89,5.11,1.74,3.97,5.3,1.7,3.78,4.85,,,
