№,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90
1,Mohamed Salah,Liverpool,19,1686,18,13,16.10-1.90,8.34-4.66,0.86,0.66,0.45
2,Erling Haaland,Manchester City,20,1795,16,1,17.69+1.69,1.95+0.95,0.89,0.81,0.1
3,Alexander Isak,Newcastle United,18,1483,13,4,12.10-0.90,4.01+0.01,0.73,0.73,0.24
4,Bryan Mbeumo,Brentford,20,1799,13,3,6.38-6.62,5.49+2.49,0.32,0.21,0.27
5,Cole Palmer,Chelsea,20,1770,13,6,10.10-2.90,8.57+2.57,0.51,0.4,0.44
6,Chris Wood,Nottingham Forest,20,1616,12,1,8.35-3.65,1.10+0.10,0.46,0.38,0.06
7,Matheus Cunha,Wolverhampton Wanderers,19,1577,10,4,4.17-5.83,5.16+1.16,0.24,0.24,0.29
8,Yoane Wissa,Brentford,17,1323,9,2,9.44+0.44,1.29-0.71,0.64,0.64,0.09
9,Nicolas Jackson,Chelsea,19,1501,9,3,10.46+1.46,2.01-0.99,0.63,0.63,0.12
10,Raúl Jiménez,Fulham,20,1251,8,2,9.04+1.04,2.87+0.87,0.65,0.49,0.21
11,James Maddison,Tottenham,20,1196,8,4,4.95-3.05,3.57-0.43,0.37,0.37,0.27
12,Ollie Watkins,Aston Villa,20,1399,8,4,12.57+4.57,2.61-1.39,0.81,0.71,0.17
13,Liam Delap,Ipswich,19,1490,8,2,8.45+0.45,2.17+0.17,0.51,0.42,0.13
14,Luis Díaz,Liverpool,18,1124,8,2,5.56-2.44,2.63+0.63,0.44,0.44,0.21
15,Dominic Solanke,Tottenham,17,1518,7,3,9.37+2.37,2.24-0.76,0.56,0.56,0.13
16,Kai Havertz,Arsenal,17,1488,7,2,9.46+2.46,2.41+0.41,0.57,0.57,0.15
17,Brennan Johnson,Tottenham,20,1458,7,2,8.65+1.65,2.03+0.03,0.53,0.53,0.13
18,Jørgen Strand Larsen,Wolverhampton Wanderers,20,1656,7,2,6.24-0.76,1.86-0.14,0.34,0.34,0.1
19,Jhon Durán,Aston Villa,18,540,7,0,4.96-2.04,0.23+0.23,0.83,0.83,0.04
20,Danny Welbeck,Brighton,14,1145,6,2,5.99-0.01,0.72-1.28,0.47,0.47,0.06
21,Jamie Vardy,Leicester,18,1498,6,3,6.91+0.91,2.69-0.31,0.42,0.37,0.16
22,Justin Kluivert,Bournemouth,19,1232,6,2,6.69+0.69,2.21+0.21,0.49,0.21,0.16
23,Cody Gakpo,Liverpool,19,996,6,2,4.70-1.30,2.84+0.84,0.42,0.42,0.26
24,Morgan Rogers,Aston Villa,19,1597,6,3,4.31-1.69,4.19+1.19,0.24,0.24,0.24
25,Son Heung-Min,Tottenham,17,1253,5,6,4.86-0.14,6.70+0.70,0.35,0.29,0.48
26,Alex Iwobi,Fulham,20,1736,5,3,3.55-1.45,4.79+1.79,0.18,0.18,0.25
27,Jarrod Bowen,West Ham,19,1667,5,4,5.15+0.15,5.05+1.05,0.28,0.24,0.27
28,Harry Wilson,Fulham,16,591,5,0,2.59-2.41,0.36+0.36,0.39,0.39,0.05
29,Jean-Philippe Mateta,Crystal Palace,20,1530,5,1,7.36+2.36,2.03+1.03,0.43,0.39,0.12
30,Harvey Barnes,Newcastle United,20,758,5,1,2.73-2.27,2.39+1.39,0.32,0.32,0.28
31,Dejan Kulusevski,Tottenham,20,1598,5,4,3.92-1.08,5.05+1.05,0.22,0.22,0.28
32,Bukayo Saka,Arsenal,16,1310,5,10,5.05+0.05,9.62-0.38,0.35,0.29,0.66
33,Gabriel Martinelli,Arsenal,18,1185,5,2,4.78-0.22,2.66+0.66,0.36,0.36,0.2
34,Anthony Gordon,Newcastle United,19,1559,5,4,7.24+2.24,4.05+0.05,0.42,0.33,0.23
35,João Pedro,Brighton,14,1053,5,5,3.86-1.14,2.71-2.29,0.33,0.27,0.23
36,Kevin Schade,Brentford,20,948,5,2,4.17-0.83,1.34-0.66,0.4,0.4,0.13
37,Noni Madueke,Chelsea,18,1164,5,3,7.35+2.35,1.67-1.33,0.57,0.57,0.13
38,Antoine Semenyo,Bournemouth,19,1669,5,2,8.85+3.85,4.23+2.23,0.48,0.48,0.23
39,Evanilson,Bournemouth,19,1419,5,0,7.53+2.53,1.36+1.36,0.48,0.43,0.09
40,Joelinton,Newcastle United,19,1608,4,1,2.91-1.09,1.27+0.27,0.16,0.16,0.07
41,Marcus Rashford,Manchester United,15,1004,4,1,1.94-2.06,2.17+1.17,0.17,0.17,0.19
42,Jordan Ayew,"Crystal Palace, Leicester",18,939,4,0,3.41-0.59,0.75+0.75,0.33,0.25,0.07
43,Bruno Fernandes,Manchester United,19,1574,4,6,6.85+2.85,4.98-1.02,0.39,0.3,0.28
44,Ismaila Sarr,Crystal Palace,20,1274,4,2,5.32+1.32,4.51+2.51,0.38,0.38,0.32
45,Diogo Jota,Liverpool,12,599,4,2,4.95+0.95,1.09-0.91,0.74,0.74,0.16
46,Morgan Gibbs-White,Nottingham Forest,16,1288,4,3,2.17-1.83,4.13+1.13,0.15,0.15,0.29
47,Tomas Soucek,West Ham,18,1348,4,1,3.81-0.19,0.90-0.10,0.25,0.25,0.06
48,Josko Gvardiol,Manchester City,19,1659,4,0,3.07-0.93,1.53+1.53,0.17,0.17,0.08
49,Facundo Buonanotte,Leicester,17,1051,4,2,3.28-0.72,3.07+1.07,0.28,0.28,0.26
50,Sammie Szmodics,Ipswich,18,1014,4,0,4.51+0.51,0.15+0.15,0.4,0.4,0.01
