№,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90
1,Mohamed Salah,Liverpool,17,1506,16,11,13.40-2.60,6.81-4.19,0.8,0.62,0.41
2,Erling Haaland,Manchester City,18,1620,13,1,15.56+2.56,1.75+0.75,0.86,0.78,0.1
3,Cole Palmer,Chelsea,18,1590,12,6,9.40-2.60,7.93+1.93,0.53,0.4,0.45
4,Alexander Isak,Newcastle United,16,1303,11,4,10.01-0.99,3.82-0.18,0.69,0.69,0.26
5,Chris Wood,Nottingham Forest,18,1448,10,0,7.28-2.72,0.97+0.97,0.45,0.36,0.06
6,Bryan Mbeumo,Brentford,18,1619,10,2,4.89-5.11,4.31+2.31,0.27,0.19,0.24
7,Matheus Cunha,Wolverhampton Wanderers,18,1528,10,4,4.08-5.92,5.16+1.16,0.24,0.24,0.3
8,Nicolas Jackson,Chelsea,17,1389,9,3,10.07+1.07,1.99-1.01,0.65,0.65,0.13
9,Yoane Wissa,Brentford,15,1154,8,1,6.98-1.02,0.87-0.13,0.54,0.54,0.07
10,James Maddison,Tottenham,18,1149,8,4,4.86-3.14,3.57-0.43,0.38,0.38,0.28
11,Kai Havertz,Arsenal,17,1488,7,2,9.46+2.46,2.41+0.41,0.57,0.57,0.15
12,Ollie Watkins,Aston Villa,18,1219,7,3,10.74+3.74,2.28-0.72,0.79,0.74,0.17
13,Luis Díaz,Liverpool,16,972,7,2,5.13-1.87,2.46+0.46,0.47,0.47,0.23
15,Danny Welbeck,Brighton,14,1145,6,2,5.99-0.01,0.72-1.28,0.47,0.47,0.06
16,Jamie Vardy,Leicester,16,1318,6,3,5.47-0.53,2.01-0.99,0.37,0.32,0.14
17,Dominic Solanke,Tottenham,15,1338,6,3,8.56+2.56,1.99-1.01,0.58,0.58,0.13
18,Justin Kluivert,Bournemouth,18,1157,6,2,6.32+0.32,2.21+0.21,0.49,0.2,0.17
19,Liam Delap,Ipswich,17,1312,6,1,6.61+0.61,1.99+0.99,0.45,0.45,0.14
20,Brennan Johnson,Tottenham,18,1301,6,2,8.39+2.39,1.96-0.04,0.58,0.58,0.14
21,Jørgen Strand Larsen,Wolverhampton Wanderers,18,1525,6,2,4.47-1.53,1.72-0.28,0.26,0.26,0.1
22,Son Heung-Min,Tottenham,15,1162,5,6,4.03-0.97,6.66+0.66,0.31,0.31,0.52
23,Alex Iwobi,Fulham,18,1583,5,3,3.31-1.69,4.24+1.24,0.19,0.19,0.24
24,Jarrod Bowen,West Ham,18,1604,5,4,5.12+0.12,5.05+1.05,0.29,0.24,0.28
25,Raúl Jiménez,Fulham,18,1090,5,2,6.58+1.58,2.87+0.87,0.54,0.48,0.24
26,Harvey Barnes,Newcastle United,18,748,5,1,2.64-2.36,2.39+1.39,0.32,0.32,0.29
27,Dejan Kulusevski,Tottenham,18,1418,5,3,3.62-1.38,4.29+1.29,0.23,0.23,0.27
28,Bukayo Saka,Arsenal,16,1310,5,10,5.05+0.05,9.62-0.38,0.35,0.29,0.66
29,Noni Madueke,Chelsea,16,1079,5,3,7.11+2.11,1.60-1.40,0.59,0.59,0.13
30,Antoine Semenyo,Bournemouth,17,1489,5,1,7.41+2.41,3.48+2.48,0.45,0.45,0.21
31,Morgan Rogers,Aston Villa,18,1507,5,3,4.24-0.76,4.04+1.04,0.25,0.25,0.24
32,Marcus Rashford,Manchester United,15,1004,4,1,1.94-2.06,2.17+1.17,0.17,0.17,0.19
33,Jordan Ayew,"Crystal Palace, Leicester",17,853,4,0,3.41-0.59,0.27+0.27,0.36,0.28,0.03
34,Bruno Fernandes,Manchester United,18,1484,4,5,6.78+2.78,4.73-0.27,0.41,0.32,0.29
36,Ismaila Sarr,Crystal Palace,18,1094,4,2,4.81+0.81,3.77+1.77,0.4,0.4,0.31
37,Jean-Philippe Mateta,Crystal Palace,18,1350,4,1,6.18+2.18,1.98+0.98,0.41,0.36,0.13
38,Gabriel Martinelli,Arsenal,16,1055,4,2,4.52+0.52,2.36+0.36,0.39,0.39,0.2
39,Anthony Gordon,Newcastle United,17,1389,4,3,6.08+2.08,3.16+0.16,0.39,0.3,0.2
40,João Pedro,Brighton,12,873,4,3,2.96-1.04,2.25-0.75,0.31,0.31,0.23
41,Tomas Soucek,West Ham,17,1258,4,0,3.44-0.56,0.64+0.64,0.25,0.25,0.05
42,Kevin Schade,Brentford,18,853,4,2,3.72-0.28,0.90-1.10,0.39,0.39,0.1
43,Josko Gvardiol,Manchester City,17,1479,4,0,3.07-0.93,1.53+1.53,0.19,0.19,0.09
44,Cody Gakpo,Liverpool,17,847,4,2,3.59-0.41,2.24+0.24,0.38,0.38,0.24
45,Facundo Buonanotte,Leicester,15,957,4,2,3.25-0.75,3.01+1.01,0.31,0.31,0.28
46,Evanilson,Bournemouth,17,1247,4,0,6.98+2.98,1.29+1.29,0.5,0.45,0.09
47,Joelinton,Newcastle United,17,1428,3,1,2.56-0.44,1.22+0.22,0.16,0.16,0.08
48,Mateo Kovacic,Manchester City,14,1083,3,0,1.00-2.00,1.71+1.71,0.08,0.08,0.14
49,Gabriel,Arsenal,16,1371,3,1,4.03+1.03,0.92-0.08,0.26,0.26,0.06
50,Jacob Murphy,Newcastle United,15,870,3,6,2.71-0.29,4.12-1.88,0.28,0.28,0.43
51,Curtis Jones,Liverpool,14,746,3,1,2.89-0.11,0.40-0.60,0.35,0.35,0.05
52,Rayan Ait Nouri,Wolverhampton Wanderers,17,1477,3,3,2.15-0.85,1.52-1.48,0.13,0.13,0.09
