№,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90
4,Matheus Cunha,Wolverhampton Wanderers,7,630,5,2,1.41-3.59,1.72-0.28,0.2,0.2,0.25
5,Cole Palmer,Chelsea,7,624,5,1,4.93-0.07,2.24+1.24,0.71,0.49,0.32
6,Ismaila Sarr,Crystal Palace,7,620,4,2,3.28-0.72,2.34+0.34,0.48,0.48,0.34
9,Alex Iwobi,Fulham,7,629,3,1,1.67-1.33,0.35-0.65,0.24,0.24,0.05
17,Enzo Fernández,Chelsea,7,630,3,3,1.45-1.55,2.78-0.22,0.21,0.21,0.4
24,Jarrod Bowen,West Ham,7,630,2,2,2.65+0.65,1.27-0.73,0.38,0.38,0.18
25,Bernardo Silva,Manchester City,7,630,2,1,1.50-0.50,1.33+0.33,0.21,0.21,0.19
28,Aaron Wan-Bissaka,West Ham,7,630,2,0,0.61-1.39,0.68+0.68,0.09,0.09,0.1
31,Nikola Milenkovic,Nottingham Forest,7,630,2,0,0.98-1.02,0,0.14,0.14,0
34,Bryan Mbeumo,Brentford,7,630,2,1,1.02-0.98,1.64+0.64,0.15,0.15,0.23
36,William Saliba,Arsenal,7,630,2,0,2.48+0.48,0.10+0.10,0.35,0.35,0.01
40,Tomas Soucek,West Ham,7,606,2,0,0.80-1.20,0.17+0.17,0.12,0.12,0.03
46,Kaoru Mitoma,Brighton,7,611,2,0,1.68-0.32,0.95+0.95,0.25,0.25,0.14
47,Jørgen Strand Larsen,Wolverhampton Wanderers,7,600,2,1,1.92-0.08,0.40-0.60,0.29,0.29,0.06
51,Fabian Schär,Newcastle United,7,630,1,0,0.38-0.62,0,0.05,0.05,0
56,Ola Aina,Nottingham Forest,7,604,1,0,0.28-0.72,0.18+0.18,0.04,0.04,0.03
87,Erling Haaland,Manchester City,7,630,1,1,3.37+2.37,0.94-0.06,0.48,0.37,0.13
92,Maxence Lacroix,Crystal Palace,7,630,1,0,0.87-0.13,0,0.12,0.12,0
99,Nathan Collins,Brentford,7,630,1,1,0.41-0.59,0.76-0.24,0.06,0.06,0.11
113,Jurriën Timber,Arsenal,7,630,1,0,0.54-0.46,0.24+0.24,0.08,0.08,0.03
114,Milos Kerkez,Bournemouth,7,626,1,0,0.23-0.77,1.68+1.68,0.03,0.03,0.24
121,Mateus Fernandes,Southampton,7,617,1,0,1.86+0.86,0.27+0.27,0.27,0.27,0.04
126,Bernd Leno,Fulham,7,630,0,0,0,0,0,0,0
156,Kyle Walker-Peters,Southampton,7,630,0,1,0.11+0.11,1.34+0.34,0.02,0.02,0.19
189,Kepa,Bournemouth,7,630,0,0,0,0,0,0,0
190,Estupiñán,Brighton,7,630,0,1,0.22+0.22,0.97-0.03,0.03,0.03,0.14
235,Matz Sels,Nottingham Forest,7,630,0,0,0,0,0,0,0
238,Arijanet Muric,Ipswich,7,630,0,0,0,0,0,0,0
247,Diogo Dalot,Manchester United,7,630,0,0,0.42+0.42,0.12+0.12,0.06,0.06,0.02
257,Marc Guehi,Crystal Palace,7,630,0,1,0.16+0.16,0.64-0.36,0.02,0.02,0.09
259,Dean Henderson,Crystal Palace,7,630,0,0,0,0.02+0.02,0,0,0
260,John McGinn,Aston Villa,7,608,0,3,1.92+1.92,1.87-1.13,0.28,0.28,0.28
274,Tyrick Mitchell,Crystal Palace,7,629,0,2,0.05+0.05,1.55-0.45,0.01,0.01,0.22
290,Dara O'Shea,Ipswich,7,630,0,0,0.04+0.04,0,0.01,0.01,0
298,Leif Davis,Ipswich,7,630,0,0,0.09+0.09,1.25+1.25,0.01,0.01,0.18
299,Antonee Robinson,Fulham,7,630,0,3,0.62+0.62,1.55-1.45,0.09,0.09,0.22
304,Radu Dragusin,Tottenham,7,614,0,0,0.03+0.03,0.02+0.02,0,0,0
310,Moisés Caicedo,Chelsea,7,625,0,0,0.10+0.10,0.45+0.45,0.01,0.01,0.06
317,David Raya,Arsenal,7,630,0,0,0,0,0,0,0
338,Lewis Hall,Newcastle United,7,626,0,1,0.30+0.30,1.44+0.44,0.04,0.04,0.21
