No,Player,Team,Apps,Min,G,A,xG,xA,xG90,NPxG90,xA90
1,Mohamed Salah,Liverpool,13,1169,13,8,10.23-2.77,5.60-2.40,0.79,0.61,0.43
2,Alexander Isak,Newcastle United,12,1038,13,3,8.83-4.17,3.54+0.54,0.77,0.7,0.31
3,Chris Wood,Nottingham Forest,12,1021,9,2,5.84-3.16,0.74-1.26,0.51,0.45,0.07
4,Jean-Philippe Mateta,Crystal Palace,12,1036,8,0,7.56-0.44,1.90+1.90,0.66,0.59,0.17
5,Phil Foden,Manchester City,10,819,7,1,4.17-2.83,2.43+1.43,0.46,0.46,0.27
6,Erling Haaland,Manchester City,12,1048,7,3,6.87-0.13,2.32-0.68,0.59,0.52,0.2
7,Bryan Mbeumo,Brentford,12,1080,6,2,5.31-0.69,4.29+2.29,0.44,0.32,0.36
8,Justin Kluivert,Bournemouth,11,856,6,3,4.56-1.44,2.21-0.79,0.48,0.32,0.23
9,Cole Palmer,Chelsea,12,1074,6,0,5.71-0.29,3.14+3.14,0.48,0.35,0.26
10,Ollie Watkins,Aston Villa,13,818,6,3,6.15+0.15,1.42-1.58,0.68,0.51,0.16
11,Dango Ouattara,Bournemouth,12,864,6,3,6.74+0.74,2.67-0.33,0.7,0.7,0.28
12,Cody Gakpo,Liverpool,11,856,6,2,4.06-1.94,2.41+0.41,0.43,0.43,0.25
13,Raúl Jiménez,Fulham,12,805,5,1,4.75-0.25,0.62-0.38,0.53,0.36,0.07
14,Matheus Cunha,Wolverhampton Wanderers,11,900,5,1,2.45-2.55,2.26+1.26,0.25,0.25,0.23
15,Amad Diallo Traore,Manchester United,11,933,5,1,3.00-2.00,1.39+0.39,0.29,0.29,0.13
16,Alex Iwobi,Fulham,12,1002,4,0,1.74-2.26,1.99+1.99,0.16,0.16,0.18
17,Kai Havertz,Arsenal,9,768,4,2,5.26+1.26,1.72-0.28,0.62,0.62,0.2
18,Jacob Murphy,Newcastle United,12,960,4,5,2.86-1.14,4.57-0.43,0.27,0.27,0.43
19,Dejan Kulusevski,Tottenham,12,1071,4,1,2.91-1.09,2.11+1.11,0.24,0.24,0.18
20,James Maddison,Tottenham,10,498,4,1,1.95-2.05,1.01+0.01,0.35,0.35,0.18
21,Morgan Gibbs-White,Nottingham Forest,12,985,4,5,2.19-1.81,2.86-2.14,0.2,0.2,0.26
22,Anthony Gordon,Newcastle United,12,968,4,4,4.31+0.31,2.31-1.69,0.4,0.4,0.22
23,Liam Delap,Ipswich,11,931,4,1,4.56+0.56,1.73+0.73,0.44,0.29,0.17
24,Kevin Schade,Brentford,12,665,4,1,2.95-1.05,1.61+0.61,0.4,0.4,0.22
25,Iliman Ndiaye,Everton,11,911,4,0,3.00-1.00,0.72+0.72,0.3,0.22,0.07
26,Beto,Everton,8,387,4,0,1.75-2.25,0.25+0.25,0.41,0.41,0.06
27,Luis Díaz,Liverpool,12,843,4,0,3.95-0.05,0.63+0.63,0.42,0.42,0.07
28,Yankuba Minteh,Brighton,12,482,4,1,2.54-1.46,1.38+0.38,0.47,0.47,0.26
29,Son Heung-Min,Tottenham,12,869,3,3,3.89+0.89,3.41+0.41,0.4,0.32,0.35
30,Jamie Vardy,Leicester,11,899,3,1,5.94+2.94,1.36+0.36,0.59,0.59,0.14
31,Bruno Fernandes,Manchester United,11,935,3,1,3.47+0.47,1.85+0.85,0.33,0.19,0.18
32,Dominic Solanke,Tottenham,8,716,3,1,3.22+0.22,1.05+0.05,0.4,0.4,0.13
33,Jarrod Bowen,West Ham,8,693,3,1,2.91-0.09,1.32+0.32,0.38,0.38,0.17
34,Mikel Merino,Arsenal,11,406,3,1,2.90-0.10,0.51-0.49,0.64,0.64,0.11
35,Gabriel Jesus,Arsenal,6,378,3,0,2.66-0.34,0.15+0.15,0.63,0.63,0.04
36,Ismaila Sarr,Crystal Palace,12,1031,3,2,3.69+0.69,3.23+1.23,0.32,0.32,0.28
37,Yoane Wissa,Brentford,12,1040,3,1,6.45+3.45,1.64+0.64,0.56,0.56,0.14
38,Diogo Jota,Liverpool,9,252,3,1,3.57+0.57,0.87-0.13,1.28,1.28,0.31
39,Gabriel Martinelli,Arsenal,11,775,3,1,2.60-0.40,0.88-0.12,0.3,0.3,0.1
40,Omar Marmoush,Manchester City,3,226,3,0,1.06-1.94,0.38+0.38,0.42,0.42,0.15
41,Anthony Elanga,Nottingham Forest,12,848,3,6,3.28+0.28,3.16-2.84,0.35,0.35,0.34
42,Rodrigo Muniz,Fulham,12,303,3,0,2.70-0.30,0,0.8,0.8,0
43,Kaoru Mitoma,Brighton,12,885,3,1,1.93-1.07,1.59+0.59,0.2,0.2,0.16
44,Noni Madueke,Chelsea,11,617,3,2,4.89+1.89,1.44-0.56,0.71,0.71,0.21
45,Antoine Semenyo,Bournemouth,12,1056,3,3,5.74+2.74,2.33-0.67,0.49,0.49,0.2
46,Jhon Durán,Aston Villa,7,293,3,0,2.18-0.82,0.11+0.11,0.67,0.67,0.03
47,Morgan Rogers,Aston Villa,12,1054,3,2,2.78-0.22,1.84-0.16,0.24,0.24,0.16
48,Joelinton,Newcastle United,10,846,2,1,1.82-0.18,0.73-0.27,0.19,0.19,0.08
49,Trent Alexander-Arnold,Liverpool,13,967,2,5,0.73-1.27,4.07-0.93,0.07,0.07,0.38
50,Bernardo Silva,Manchester City,10,900,2,1,1.42-0.58,1.19+0.19,0.14,0.14,0.12
